Kürbiskernöl,0g,100g,0g,900
Leinöl,0g,100g,0g,900
Margarine,0g,80g,0g,720
Mayonnaise,0g,80g,0g,720
Olivenöl,0g,100g,0g,900
Pflanzenöl,0g,100g,0g,900
Rapsöl,0g,100g,0g,900
Remoulade,0g,60g,0g,540
Rindertalg,0g,100g,0g,900
Schweineschmalz,0g,100g,0g,900
Sesamöl,0g,100g,0g,900
Sonnenblumenöl,0g,100g,0g,900
Traubenkernöl,0g,100g,0g,900
Walnussöl,0g,100g,0g,900
Weizenkeimöl,0g,100g,0g,900
Absinth (45% Vol.),0g,0g,10g,430
Aloe Vera Saft,0.1g,0g,0.4g,2
Altbier,0.5g,0g,5.4g,41
Ananassaft,0.4g,0.1g,12g,51
Aperol Likör,0g,0g,25g,191
Apfelsaft,0g,0g,11g,44
Apfelschorle,0g,0g,7g,28
Apfelwein,0g,0g,4g,32
Bier,0g,0g,3g,39
Bier. alkoholfrei,0g,0g,5g,25
Cappuccino,1.5g,1.7g,3g,33
Champagner,0g,0g,5g,92
Cidre,0g,0g,6g,43
Cola,0g,0g,12g,48
Cola light,0g,0g,0.7g,3
Cola Zero,0g,0g,0g,0
Diätbier,0g,0g,2g,33
Diesel,0g,0g,6.8g,44
Eierlikör (20% Vol.),4g,7g,28g,263
Eistee,0g,0g,10g,40
Eiweißshake mit Milch,30.1g,5g,9g,201
Energydrink,0g,0g,13g,52
Espresso,0.1g,0.2g,1.5g,8
Fanta Orange,0.1g,9.2g,9.1g,120
Federweißer,0g,0g,10g,40
Früchtetee,0g,0g,0g,0
Fruchtsaft,0.1g,0.1g,10g,41
Gemüsesaft,0g,0g,7g,28
Gin (40% Vol.),0g,0g,0g,239
Glühwein,0.2g,0g,14g,105
Grapefruitsaft,0.8g,0.1g,10g,44
Grappa (40% Vol.),0g,0g,0g,221
Grüner tee,0.2g,0.1g,0.1g,2
Hafermilch,1g,1.5g,6g,42
Hagebuttentee,0g,0g,0.6g,2
Heiße Schokolade,6.2g,30g,40g,455
Holundersaft,2g,0g,6.8g,35
